"Run/Debug","Debug JUnit Test","Ctrl+F11","In Windows"
"File","Close","Ctrl+F4","In Windows"
"Text Editing","Text Start","Ctrl+Home","Embedded Xtext Editor context"
"Terminal Widget","Terminal view insert","Alt+G","Terminal Widget"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Embedded Xtext Editor context"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Project","Build All","Ctrl+B","In Windows"
"Text Editing","Expand","Alt+=","Editing Text"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Text Editing","Line End","End","Embedded Xtext Editor context"
"Focused UI","Show Context Quick View","Shift+Ctrl+Alt+Right","In Windows"
"Text Editing","Collapse","Alt+-","Editing Text"
"Search","Google Search","Shift+Alt+G","In Windows"
"Edit","Find Next","Ctrl+K","Editing Text"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Manifest Editor Source","Format Source","Shift+Ctrl+F","PDE editor"
"Navigate","Open Declaration","F3","Editing Xtext Source"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"C/C++ Source","Go to Matching Bracket","Shift+Ctrl+P","C/C++ Editor"
"Text Editing","Toggle Overwrite","Insert","Embedded Xtext Editor context"
"Source","Apply Checkstyle fixes","Ctrl+Alt+C","Editing Java Source"
"Terminal Widget","Terminal view insert","Alt+H","Terminal Widget"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Run/Debug","Run OSGi Framework","Shift+Alt+X O","In Windows"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Editing","Toggle Comment","Shift+Ctrl+C","Editing Xtext Source"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Window","Show System Menu","Alt+-","In Windows"
"C/C++ Source","Quick Type Hierarchy","Ctrl+T","C/C++ Editor"
"Navigate","Search Repository for Task","Shift+Ctrl+F12","In Windows"
"Editing","Toggle Comment","Ctrl+/","Editing Xtext Source"
"Run/Debug","Inspect","Shift+Ctrl+I","In Dialogs and Windows"
"Navigate","Open Task","Ctrl+F12","In Windows"
"C/C++ Source","Open Element","Shift+Ctrl+T","In C/C++ Views"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"Perspectives","Show Perspective (Java)","Shift+Ctrl+J","In Windows"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Embedded Xtext Editor context"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
"Views","Show View (Task List)","Shift+Alt+Q K","In Windows"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
"Run/Debug","Run JUnit Plug-in Test","Shift+Alt+X P","In Windows"
"Terminal Widget","Terminal view insert","Alt+W","Terminal Widget"
"Run/Debug","Debug Eclipse Application","Shift+Alt+D E","In Windows"
"C/C++ Source","Back","Alt+Left","In Macro Expansion Hover"
"Terminal Widget","Terminal view insert","Alt+N","Terminal Widget"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"C/C++ Source","Comment/Uncomment","Ctrl+/","C/C++ Editor"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"C/C++ Source","Declaration","Ctrl+G","C/C++ Editor"
"Navigate","Find References","Shift+Ctrl+G","Editing Xtext Source"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Uncategorized","ShowInstaSearch","Alt+I","In Windows"
"Text Editing","Next Word","Ctrl+Right","Embedded Xtext Editor context"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Embedded Xtext Editor context"
"File","Close","Ctrl+W","In Windows"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In Windows"
"Project","Blaze Build Selected &File","Shift+Alt+B","In Windows"
"C/C++ Source","Open Declaration","F3","In C/C++ Views"
"Edit","Shift Left","Shift+Tab","C/C++ Editor"
"File","Save All","Shift+Ctrl+S","In Windows"
"Spy","Plug-in Selection Spy","Shift+Alt+F1","In Dialogs and Windows"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Text Editing","Expand All","Shift+Alt+=","Editing Text"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Task Repositories","Mark Task Complete","Shift+Alt+C","In Tasks Editor"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Google3 file and folder-related commands","Jump to Next Error","Shift+Ctrl+`","In Windows"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Run/Debug","Run Eclipse Application","Shift+Alt+X E","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Refactor - C++","Extract Function - Refactoring ","Shift+Alt+M","C/C++ Editor"
"Project","Close Project","Ctrl+Alt+W","In Windows"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"Edit","Select Enclosing C/C++ Element","Shift+Alt+Up","C/C++ Editor"
"C/C++ Source","Forward","Alt+Right","In Macro Expansion Hover"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Embedded Xtext Editor context"
"Task Editor","Submit Task","Shift+Alt+S","In Tasks Editor"
"Project","Make Target Build","Shift+F9","In Windows"
"Run/Debug","Debug OSGi Framework","Shift+Alt+D O","In Windows"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"Focused UI","Make Landmark","Shift+Ctrl+Alt+Up","In Windows"
"Refactor - C++","Extract Local Variable - Refactoring ","Shift+Alt+L","C/C++ Editor"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Terminal Widget","Terminal view insert","Alt+P","Terminal Widget"
"Run/Debug","Debug","F11","In Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"Navigate","Open Remote Task","Shift+Ctrl+Alt+F12","In Windows"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"Run/Debug","Skip All Breakpoints","Ctrl+Alt+B","In Windows"
"Window","Quick Access","Ctrl+3","In Windows"
"Perspectives","Show Perspective (Junit Testing)","Shift+Ctrl+M","In Windows"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","C/C++ Editor"
"Text Editing","Select Line End","Shift+End","Embedded Xtext Editor context"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks View"
"Navigate","Quick Outline","Shift+Ctrl+O","Task Markup Editor Source Context"
"Editing","Select Enclosing Element","Shift+Alt+Up","Editing Xtext Source"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Edit","Find Previous","Shift+Ctrl+K","Embedded Xtext Editor context"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing Java Source"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"C/C++ Source","Toggle Source/Header","Ctrl+Tab","C/C++ Editor"
"Run/Debug","Blaze Run","Shift+Alt+X B R","In Windows"
"Run/Debug","Run Java Application","Shift+Alt+X J","In Windows"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"Edit","Incremental Find","Ctrl+J","Embedded Xtext Editor context"
"Window","Activate Editor","Alt+E","In Windows"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"Text Editing","Collapse All","Shift+Alt+-","Editing Text"
"Text Editing","Line Start","Home","Embedded Xtext Editor context"
"Navigate","Forward History","Alt+Right","In Windows"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Refactoring","Rename Element","Shift+Alt+R","Editing Xtext Source"
"Switch Category","Switch impl/test/proto","Ctrl+6","In Windows"
"Run/Debug","Go to Address...","Ctrl+G","In Disassembly"
"Navigate","Open Type","Shift+Ctrl+T","In Windows"
"Navigate","Open Plug-in Artifact","Shift+Ctrl+A","In Windows"
"Makefile Source","Open declaration","F3","Makefile Editor"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"Run/Debug","Resume","F8","Debugging"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Navigate","Next Tab","Ctrl+Tab","In Windows"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Edit","Select Previous C/C++ Element","Shift+Alt+Left","C/C++ Editor"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Java Source"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Source","Surround With Quick Menu","Shift+Alt+Z","In Windows"
"Source","Format","Shift+Ctrl+F","Editing Ant Buildfiles"
"Views","Show View (Declaration)","Shift+Alt+Q D","In Windows"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Search","Show Occurrences in File Quick Menu","Ctrl+Alt+U","In Windows"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"C/C++ Source","Go to Previous Member","Shift+Ctrl+Up","C/C++ Editor"
"Views","Show View ()","Shift+Alt+Q T","In Windows"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Editing","Format","Shift+Ctrl+F","Editing Xtext Source"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"Focused UI","Focus on Active Task","Shift+Alt+H","In Windows"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"Text Editing","Insert semicolon",";","Editing Xtext Source"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Editing","Select Next Element","Shift+Alt+Right","Editing Xtext Source"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In C/C++ Views"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Views","Show View (JUnit)","Alt+J","In Windows"
"Text Editing","Move Lines Down","Alt+Down","Embedded Xtext Editor context"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Embedded Xtext Editor context"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
"Views","Show View (Variables)","Shift+Alt+Q V","In Windows"
"Navigate","Next Page","Alt+F7","In Windows"
"C/C++ Source","Organize Includes","Shift+Ctrl+O","C/C++ Editor"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Embedded Xtext Editor context"
"Terminal Widget","Terminal view insert","Alt+S","Terminal Widget"
"Reverse Debugging Commands","Uncall","Shift+F7","Debugging C/C++"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"Views","Show View (Blaze Test Results)","Shift+Alt+Q B T","In Windows"
"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
